TOTALS: 27 of 27 Precincts ,RegisteredVoters,BallotsCast,Turnout,Steven Johnson (REP),Ron Draayer (DEM),Jamie Lewis (LIB),WriteIn
Totals,55093,32230,58%,15118,14761,896,58
Gaines Charter Township Precinct 1,2081,1502,72%,1101,314,28,1
Gaines Charter Township Precinct 2,1630,1069,65%,609,378,25,0
Gaines Charter Township Precinct 3,2172,1272,58%,809,377,34,3
Gaines Charter Township Precinct 4,2879,1178,40%,526,544,58,5
Gaines Charter Township Precinct 5,1905,937,49%,360,506,26,2
Gaines Charter Township Precinct 6,1965,1385,70%,924,379,42,0
Gaines Charter Township Precinct 7,2566,1811,70%,1174,527,40,2
Gaines Charter Township Precinct 8,2266,1430,63%,848,461,46,5
Gaines Charter Township Precinct 9,1764,1133,64%,534,532,18,0
Kentwood Ward 1 Precinct 1,2072,1009,48%,441,499,26,2
Kentwood Ward 1 Precinct 2,2787,1711,61%,705,853,64,7
Kentwood Ward 1 Precinct 3,1524,971,63%,434,461,30,0
Kentwood Ward 1 Precinct 4,1385,654,47%,225,357,35,1
Kentwood Ward 1 Precinct 5,1192,647,54%,294,298,16,4
Kentwood Ward 1 Precinct 6,2226,1085,48%,467,523,34,3
Kentwood Ward 1 Precinct 7,1944,1075,55%,401,610,30,3
Kentwood Ward 1 Precinct 8,2348,1578,67%,744,745,31,0
Kentwood Ward 1 Precinct 9,2145,1149,53%,421,652,38,1
Kentwood Ward 2 Precinct 10,2150,1401,65%,579,717,37,0
Kentwood Ward 2 Precinct 11,2803,1759,62%,739,888,49,1
Kentwood Ward 2 Precinct 12,1551,929,59%,320,545,23,3
Kentwood Ward 2 Precinct 13,2030,1207,59%,556,571,23,3
Kentwood Ward 2 Precinct 14,787,514,65%,222,247,16,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,307,842,35,5
Kentwood Ward 2 Precinct 16,2612,1825,69%,836,882,27,2
Kentwood Ward 2 Precinct 17,1674,765,45%,238,467,22,2
Kentwood Ward 2 Precinct 18,2017,1003,49%,304,586,43,3
