TOTALS: 10 of 10 Precincts ,RegisteredVoters,BallotsCast,Turnout,MistieBowser,JeffRivard,WriteIn
Totals,21350,8696,40%,5192,4851,320
Algoma Township Precinct 3,1597,1108,69%,681,612,30
Cedar Springs Precinct 1,2310,1087,47%,638,577,81
Courtland Township Precinct 2,2201,882,40%,521,454,29
Courtland Township Precinct 3,2268,487,21%,265,277,9
Nelson Township Precinct 1,2306,696,30%,415,354,28
Nelson Township Precinct 2,1580,968,61%,567,566,33
Oakfield Township Precinct 1,1557,585,37%,392,335,17
Solon Township Precinct 1,1814,1095,60%,652,655,38
Solon Township Precinct 2,2765,1072,38%,661,599,36
Spencer Township Precinct 1,2952,716,24%,400,422,19
