TOTALS: 15 of 15 Precincts ,RegisteredVoters,BallotsCast,Turnout,LaurelAbraham  (REP),PhilSkaggs  (DEM),WriteIn
Totals,24340,16300,66%,6163,8939,46
East Grand Rapids Ward 1 Precinct 2,1476,1134,76%,464,630,2
East Grand Rapids Ward 2 Precinct 3,1514,1116,73%,427,634,3
East Grand Rapids Ward 2 Precinct 4,1391,1052,75%,354,644,2
East Grand Rapids Ward 3 Precinct 5,1476,1091,73%,405,649,7
East Grand Rapids Ward 3 Precinct 6,1506,1125,74%,368,714,3
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,824,707,4
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,446,482,5
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,561,766,2
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,528,653,4
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,446,593,1
Grand Rapids Ward 3 Precinct 64,1984,885,44%,194,627,6
Grand Rapids Ward 3 Precinct 69,1359,983,72%,444,444,2
Grand Rapids Ward 3 Precinct 72,871,603,69%,162,393,1
Grand Rapids Ward 3 Precinct 73,1165,766,65%,269,430,2
Grand Rapids Ward 3 Precinct 77,1291,916,70%,271,573,2
