TOTALS: 15 of 15 Precincts ,RegisteredVoters,BallotsCast,Turnout,PaulCordes,JohnJ.Garbarino,JasonHeyboer,KimberlyKlein,WriteIn
Totals,28826,17165,59%,2478,3764,7702,8705,175
Byron Township Precinct 4,2009,31,1%,3,11,19,15,0
Grandville Precinct 1,1577,1029,65%,119,233,483,520,8
Grandville Precinct 2,2014,1232,61%,180,209,577,627,12
Grandville Precinct 3,2197,1391,63%,249,266,623,739,14
Grandville Precinct 4,1979,1483,74%,239,365,751,780,2
Grandville Precinct 5,2147,1489,69%,149,401,718,764,18
Grandville Precinct 6,1655,1179,71%,131,231,583,609,16
Walker Ward 3 Precinct 7,1966,559,28%,119,82,221,282,10
Walker Ward 3 Precinct 8,1759,1268,72%,244,215,562,545,4
Walker Ward 3 Precinct 9,1981,1274,64%,179,251,580,653,19
Wyoming Ward 3 Precinct 24,2330,1202,51%,172,221,499,625,8
Wyoming Ward 3 Precinct 25,1673,1175,70%,166,369,427,588,17
Wyoming Ward 3 Precinct 28,1984,1344,67%,244,335,544,693,22
Wyoming Ward 3 Precinct 29,1566,1104,70%,117,272,472,537,6
Wyoming Ward 3 Precinct 30,1989,1405,70%,167,303,643,728,19
