TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Totals,21044,10132,48%,5183,4286
Alpine Township  Precinct 1,1052,688,65%,294,331
Alpine Township  Precinct 4,2164,1175,54%,553,547
Grand Rapids  Ward 1  Precinct 23,1820,14,0%,6,7
Plainfield Charter Township  Precinct 2,2249,8,0%,2,5
Walker  Ward 1  Precinct 1,2037,861,42%,502,289
Walker  Ward 1  Precinct 2,1733,1176,67%,618,490
Walker  Ward 1  Precinct 3,1996,1316,65%,730,487
Walker  Ward 2  Precinct 4,2243,1567,69%,777,708
Walker  Ward 2  Precinct 5,1904,1341,70%,651,619
Walker  Ward 2  Precinct 6,1880,1193,63%,634,476
Walker  Ward 3  Precinct 7,1966,793,40%,416,327
