TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,MelissaCourtade,WriteIn
Totals,21044,10132,48%,6533,966
Alpine Township  Precinct 1,1052,688,65%,445,31
Alpine Township  Precinct 4,2164,1175,54%,768,124
Grand Rapids  Ward 1  Precinct 23,1820,14,0%,5,3
Plainfield Charter Township  Precinct 2,2249,8,0%,3,0
Walker  Ward 1  Precinct 1,2037,861,42%,600,24
Walker  Ward 1  Precinct 2,1733,1176,67%,820,88
Walker  Ward 1  Precinct 3,1996,1316,65%,869,98
Walker  Ward 2  Precinct 4,2243,1567,69%,896,261
Walker  Ward 2  Precinct 5,1904,1341,70%,852,124
Walker  Ward 2  Precinct 6,1880,1193,63%,783,88
Walker  Ward 3  Precinct 7,1966,793,40%,492,125
