TOTALS: 14 of 14 Precincts ,RegisteredVoters,BallotsCast,Turnout,DannyL.StephensJr.,WriteIn
Totals,25149,10176,40%,6460,59
Ada Township  Precinct 3,1308,70,5%,42,0
Ada Township  Precinct 5,1910,423,22%,270,0
Ada Township  Precinct 8,1120,444,39%,281,1
Bowne Township  Precinct 1,2363,679,28%,483,3
Cannon Township  Precinct 1,2060,171,8%,112,0
Cascade Charter Township  Precinct 5,2259,289,12%,194,1
Cascade Charter Township  Precinct 10,1318,57,4%,44,0
Grattan Township  Precinct 2,1598,808,50%,442,4
Lowell  Precinct 1,1606,965,60%,709,10
Lowell  Precinct 2,1377,738,53%,519,4
Lowell Charter Township  Precinct 1,2438,1650,67%,913,7
Lowell Charter Township  Precinct 2,2269,1350,59%,793,18
Vergennes Township  Precinct 1,1870,1365,72%,889,2
Vergennes Township  Precinct 2,1653,1167,70%,769,9
