TOTALS: 11 of 11 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Cathleen
Postmus (REP)
",WriteIn
Totals,25874,17598,68%,12362,523
Plainfield Charter Township Precinct 1,2614,1944,74%,1374,39
Plainfield Charter Township Precinct 2,2249,1437,63%,1029,53
Plainfield Charter Township Precinct 3,2112,1215,57%,810,54
Plainfield Charter Township Precinct 4,2300,1467,63%,990,48
Plainfield Charter Township Precinct 5,2123,1393,65%,962,38
Plainfield Charter Township Precinct 6,3012,2043,67%,1497,47
Plainfield Charter Township Precinct 7,2717,1948,71%,1434,44
Plainfield Charter Township Precinct 8,2819,1909,67%,1249,80
Plainfield Charter Township Precinct 9,2445,1611,65%,1159,45
Plainfield Charter Township Precinct 10,1777,1345,75%,948,49
Plainfield Charter Township Precinct 11,1706,1286,75%,910,26
