TOTALS: 19 of 19 Precincts ,RegisteredVoters,BallotsCast,Turnout,YES,NO
Totals,38196,23441,61%,13171,8775
Algoma Township  Precinct 4,1731,1092,63%,595,406
Algoma Township  Precinct 5,2098,1452,69%,895,461
Cannon Township  Precinct 1,2060,1295,62%,709,510
Cannon Township  Precinct 2,1931,1341,69%,704,566
Cannon Township  Precinct 3,1591,1175,73%,667,438
Cannon Township  Precinct 4,2241,1608,71%,949,557
Cannon Township  Precinct 5,1562,1147,73%,582,483
Cannon Township  Precinct 6,1862,1343,72%,755,502
Courtland Township  Precinct 1,2011,1433,71%,837,512
Courtland Township  Precinct 2,2201,636,28%,341,249
Courtland Township  Precinct 3,2268,940,41%,552,324
Grattan Township  Precinct 2,1598,325,20%,149,155
Oakfield Township  Precinct 1,1557,102,6%,47,47
Plainfield Charter Township  Precinct 1,2614,1944,74%,968,835
Plainfield Charter Township  Precinct 6,3012,2043,67%,1140,765
Plainfield Charter Township  Precinct 10,1777,1345,75%,737,534
Plainfield Charter Township  Precinct 11,1706,1286,75%,745,486
Rockford  Precinct 1,1866,1204,64%,719,403
Rockford  Precinct 2,2510,1730,68%,1080,542
