TOTALS: 19 of 19 Precincts ,RegisteredVoters,BallotsCast,Turnout,BobbiJoBlanton,DanteD'Amore,TimothyJ.Lewis,MilesJ.Postema,WriteIn
Totals,38196,23441,61%,10747,7044,10478,11533,242
Algoma Township  Precinct 4,1731,1092,63%,487,316,433,510,9
Algoma Township  Precinct 5,2098,1452,69%,612,404,616,704,1
Cannon Township  Precinct 1,2060,1295,62%,589,334,559,609,8
Cannon Township  Precinct 2,1931,1341,69%,684,396,576,718,24
Cannon Township  Precinct 3,1591,1175,73%,547,382,540,565,9
Cannon Township  Precinct 4,2241,1608,71%,718,538,777,867,13
Cannon Township  Precinct 5,1562,1147,73%,546,303,569,596,9
Cannon Township  Precinct 6,1862,1343,72%,606,452,571,693,11
Courtland Township  Precinct 1,2011,1433,71%,675,372,681,732,8
Courtland Township  Precinct 2,2201,636,28%,268,162,261,323,8
Courtland Township  Precinct 3,2268,940,41%,472,240,401,445,7
Grattan Township  Precinct 2,1598,325,20%,122,96,131,149,9
Oakfield Township  Precinct 1,1557,102,6%,51,26,48,47,0
Plainfield Charter Township  Precinct 1,2614,1944,74%,872,585,798,974,30
Plainfield Charter Township  Precinct 6,3012,2043,67%,982,671,937,982,26
Plainfield Charter Township  Precinct 10,1777,1345,75%,591,422,618,627,15
Plainfield Charter Township  Precinct 11,1706,1286,75%,636,373,681,679,19
Rockford  Precinct 1,1866,1204,64%,547,398,543,529,7
Rockford  Precinct 2,2510,1730,68%,742,574,738,784,29
